timestamp,target_threshold,count,avg_duration_s,min_duration_s,max_duration_s,avg_expiry_s,avg_start_price,avg_end_price
2026-01-07T22:39:41.006Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:39:41.006Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:39:41.006Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:40:41.007Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:40:41.007Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:40:41.007Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:41:41.006Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:41:41.006Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:41:41.006Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:42:41.006Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:42:41.006Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:42:41.006Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:43:41.006Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:43:41.006Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:43:41.006Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:44:41.006Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:44:41.006Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:44:41.006Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:45:41.008Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:45:41.008Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
2026-01-07T22:45:41.008Z,0.95,4,21.6,0.8,74.6,21,0.430,0.965
2026-01-07T22:46:41.008Z,0.8,23,58.6,0.2,88.0,243,0.464,0.850
2026-01-07T22:46:41.008Z,0.9,10,51.0,0.8,83.7,70,0.440,0.921
